FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,-0.5031658411026001,0.003348065074533224,-0.34425076842308044,-0.4861055314540863,-0.14682720601558685,-0.12768857181072235,-0.2557760775089264,-0.1791207641363144,-0.06039223074913025,-0.47355398535728455,0.18308214843273163,-0.13224589824676514,-0.23039762675762177,0.2182120531797409,-0.04889333248138428,-0.021828893572092056,-0.19484899938106537,-0.14767390489578247,0.013282335363328457,0.23429439961910248,-0.12240219116210938,-0.001430475153028965,-0.11369425058364868,-0.004046320915222168,0.0005175560945644975,0.11405905336141586,0.005236923694610596,0.4287405014038086,-0.0672539621591568,-0.02098613977432251,0.40676623582839966,0.07098910212516785,0.011044163256883621,0.7831172347068787,-0.0655161589384079,0.09561562538146973,0.7712265253067017,0.012059010565280914,0.13300466537475586
1,-0.4949604868888855,0.000568258052226156,-0.3846774101257324,-0.4713420271873474,-0.1541183739900589,-0.16283828020095825,-0.24181300401687622,-0.18791848421096802,-0.09866955876350403,-0.45703691244125366,0.1736411452293396,-0.16573910415172577,-0.2136998325586319,0.21829009056091309,-0.08169572055339813,-0.01948440633714199,-0.19524577260017395,-0.19091925024986267,0.016080094501376152,0.22812724113464355,-0.15684214234352112,-0.0011422238312661648,-0.11368635296821594,-0.004042858723551035,0.00021356788056436926,0.11406106501817703,0.005235924851149321,0.4287424385547638,-0.06745607405900955,-0.020622922107577324,0.40647009015083313,0.06964617222547531,0.011051497422158718,0.7831190824508667,-0.07197345048189163,0.09256535768508911,0.7712632417678833,0.013030064292252064,0.12981639802455902
2,-0.4864856004714966,-7.942997035570443e-05,-0.37799301743507385,-0.47108983993530273,-0.15398414433002472,-0.16095630824565887,-0.24246464669704437,-0.19194039702415466,-0.09618949890136719,-0.45158451795578003,0.17227570712566376,-0.16129253804683685,-0.2023477703332901,0.21982493996620178,-0.07905739545822144,-0.02096063271164894,-0.19528724253177643,-0.18403039872646332,0.016633931547403336,0.2162451297044754,-0.15675851702690125,-0.0010513371089473367,-0.11351074278354645,-0.004038989078253508,0.00011940518743358552,0.11390680819749832,0.00523429224267602,0.42898809909820557,-0.06658943742513657,-0.02269376628100872,0.4067440927028656,0.06928727775812149,0.01017482578754425,0.7852728962898254,-0.07256761938333511,0.08473633974790573,0.774780809879303,0.013563504442572594,0.1227378100156784
3,-0.4777206778526306,-0.0015094882110133767,-0.40185272693634033,-0.4595366418361664,-0.15820401906967163,-0.1752629578113556,-0.22604283690452576,-0.19325067102909088,-0.11435726284980774,-0.43918415904045105,0.16328643262386322,-0.18246859312057495,-0.1894051730632782,0.21745897829532623,-0.1071096733212471,-0.011096998117864132,-0.19307385385036469,-0.207051083445549,0.02197708748281002,0.20484128594398499,-0.1884922832250595,-0.0007019378244876862,-0.11342789977788925,-0.004042061045765877,-0.00024234241573140025,0.11385080218315125,0.00524130929261446,0.4291382133960724,-0.06644847244024277,-0.024987811222672462,0.40674296021461487,0.06917028874158859,0.00970928929746151,0.7897886037826538,-0.07379300147294998,0.0683957114815712,0.7779439687728882,0.017131121829152107,0.11098694801330566
4,-0.47671207785606384,-0.0014888998121023178,-0.4074596166610718,-0.4527277946472168,-0.15822246670722961,-0.17526443302631378,-0.22117717564105988,-0.19462206959724426,-0.11489387601613998,-0.4338311553001404,0.16400018334388733,-0.1879575252532959,-0.18546178936958313,0.21735860407352448,-0.11691036075353622,-0.00961337797343731,-0.18670548498630524,-0.2097657024860382,0.021866559982299805,0.1960359811782837,-0.2015281468629837,-0.0005619805306196213,-0.11340474337339401,-0.003935572225600481,-0.00039172222022898495,0.11383957415819168,0.005147318821400404,0.42904722690582275,-0.06619876623153687,-0.028763141483068466,0.4067683815956116,0.06874524801969528,0.008706574328243732,0.7899112105369568,-0.07290595769882202,0.06487041711807251,0.7800878286361694,0.017675386741757393,0.10541868209838867
5,-0.4779208302497864,-0.002112383022904396,-0.39427828788757324,-0.4536939561367035,-0.159336656332016,-0.16348379850387573,-0.21943435072898865,-0.1946580857038498,-0.11175412684679031,-0.4365200996398926,0.16270948946475983,-0.17562705278396606,-0.18627548217773438,0.21529564261436462,-0.11603472381830215,-0.009445075877010822,-0.18459132313728333,-0.20724456012248993,0.02178983949124813,0.18971848487854004,-0.19168533384799957,-0.0002959826961159706,-0.11336834728717804,-0.003966652322560549,-0.0006514933775179088,0.11381465941667557,0.005186318885535002,0.4283779263496399,-0.06622695922851562,-0.029720138758420944,0.4064314365386963,0.06794653832912445,0.006408320739865303,0.7896988391876221,-0.07367925345897675,0.06360412389039993,0.7797620296478271,0.020379826426506042,0.1028294563293457
6,-0.47880321741104126,-0.0021833982318639755,-0.3986876606941223,-0.45177415013313293,-0.16100247204303741,-0.1685991734266281,-0.21903623640537262,-0.19642865657806396,-0.11457379162311554,-0.43789759278297424,0.16063956916332245,-0.17968173325061798,-0.18888844549655914,0.2137087732553482,-0.11510341614484787,-0.008538607507944107,-0.18365640938282013,-0.20751124620437622,0.021051885560154915,0.18492655456066132,-0.1982068121433258,0.0002544813905842602,-0.1132405698299408,-0.003941328264772892,-0.0012138362508267164,0.11370711028575897,0.005164797883480787,0.42847251892089844,-0.06581933796405792,-0.02973659709095955,0.4061504602432251,0.06608539819717407,0.006357624661177397,0.7916663885116577,-0.07338473945856094,0.061325106769800186,0.7804016470909119,0.020747942849993706,0.10154276341199875
7,-0.47902175784111023,-0.002744257915765047,-0.38183701038360596,-0.45309627056121826,-0.16265474259853363,-0.160661518573761,-0.21901676058769226,-0.1961732804775238,-0.11291186511516571,-0.43897196650505066,0.160611093044281,-0.17133602499961853,-0.19053803384304047,0.2125418484210968,-0.1127619668841362,-0.008558874949812889,-0.18279288709163666,-0.20399442315101624,0.019290713593363762,0.18399864435195923,-0.19222529232501984,0.000678911164868623,-0.11320504546165466,-0.003928664606064558,-0.0016327046323567629,0.11367905884981155,0.005155191756784916,0.42836621403694153,-0.06504593789577484,-0.03148651123046875,0.40462633967399597,0.06616219133138657,0.004928075708448887,0.7915896773338318,-0.07168523967266083,0.06234108284115791,0.7787416577339172,0.022670932114124298,0.10117755830287933
8,-0.479380339384079,-0.004081700462847948,-0.39439234137535095,-0.4538073241710663,-0.16714151203632355,-0.1693534255027771,-0.219681978225708,-0.20418113470077515,-0.11732707172632217,-0.4393024146556854,0.15617482364177704,-0.1771952360868454,-0.1908693015575409,0.20815813541412354,-0.11211052536964417,-0.006284021772444248,-0.18786516785621643,-0.20967304706573486,0.017110925167798996,0.18108102679252625,-0.19413219392299652,0.0011974042281508446,-0.1131020188331604,-0.003999603446573019,-0.0021620867773890495,0.11359085887670517,0.005229325965046883,0.4286435544490814,-0.06469467282295227,-0.0309669878333807,0.4046076834201813,0.06607510894536972,0.006994806230068207,0.7915776371955872,-0.07179867476224899,0.06671388447284698,0.7787157297134399,0.022488322108983994,0.10610970854759216
9,-0.48217687010765076,-0.004081579856574535,-0.39257121086120605,-0.4541768729686737,-0.1673264503479004,-0.1676291823387146,-0.22028425335884094,-0.2047497183084488,-0.11396776139736176,-0.4419223964214325,0.1560436636209488,-0.17570479214191437,-0.1932944506406784,0.2083163857460022,-0.10978514701128006,-0.005495872348546982,-0.1888890564441681,-0.20664432644844055,0.013745549134910107,0.18335862457752228,-0.19236505031585693,0.0017021081876009703,-0.11299938708543777,-0.0038718266878277063,-0.0026615378446877003,0.113490991294384,0.005105332937091589,0.4289565086364746,-0.06389538198709488,-0.027429698035120964,0.40447911620140076,0.06724385172128677,0.008228583261370659,0.7913994789123535,-0.06935068219900131,0.07941565662622452,0.7785899043083191,0.023833142593503,0.11015091836452484
