FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.5335692167282104,0.2466394454240799,-0.29823529720306396,0.5791661739349365,0.3049301207065582,-0.13797031342983246,0.5941004157066345,0.3950311541557312,-0.09556535631418228,0.504386842250824,0.3098563849925995,-0.0585993230342865,0.4902869462966919,0.3961130380630493,0.016594965010881424,0.5977315902709961,0.47442999482154846,-0.1785505712032318,0.4820404052734375,0.4809795916080475,-0.06355106830596924,0.5600171089172363,0.4861399233341217,-0.025841347873210907,0.5157762765884399,0.48534637689590454,0.025819454342126846,0.5538833737373352,0.6282695531845093,-0.04489552229642868,0.5204359292984009,0.6247875094413757,0.01675216667354107,0.5478062033653259,0.7642337083816528,0.07557374238967896,0.5145792365074158,0.7673659324645996,0.1400904655456543
1,0.5338289141654968,0.24529074132442474,-0.27373114228248596,0.5793883800506592,0.30495402216911316,-0.10178796201944351,0.5941005945205688,0.3950112462043762,-0.07390736788511276,0.5037298798561096,0.3100666105747223,-0.05822310596704483,0.4903125762939453,0.39844441413879395,0.0024436465464532375,0.5971161723136902,0.4740016758441925,-0.1785297840833664,0.48206546902656555,0.4816147983074188,-0.0775662362575531,0.5600441098213196,0.4859655201435089,-0.020574072375893593,0.5157448053359985,0.4851694703102112,0.020553378388285637,0.5548276901245117,0.629263699054718,-0.04154565557837486,0.5204160809516907,0.6259340643882751,0.003642525989562273,0.5494300127029419,0.7685639262199402,0.061035268008708954,0.5145911574363708,0.7692139148712158,0.11168456822633743
2,0.533970832824707,0.24482625722885132,-0.27749913930892944,0.5795141458511353,0.3049714267253876,-0.10034546256065369,0.5940843224525452,0.3950512409210205,-0.06706242263317108,0.5031834244728088,0.31016239523887634,-0.06645336747169495,0.49027711153030396,0.39925238490104675,-0.011080963537096977,0.5962961316108704,0.47396183013916016,-0.17347069084644318,0.48201891779899597,0.48200079798698425,-0.08698775619268417,0.5600391626358032,0.48573997616767883,-0.014686374925076962,0.5156329274177551,0.48475030064582825,0.014654227532446384,0.5549881458282471,0.6293928623199463,-0.036350760608911514,0.5199050307273865,0.6262146234512329,-0.004210685379803181,0.5494845509529114,0.7705047130584717,0.06008521839976311,0.5129140615463257,0.7699950933456421,0.1005372405052185
3,0.5339609384536743,0.24481794238090515,-0.2800777554512024,0.5795103311538696,0.3050117790699005,-0.10464873909950256,0.5939182043075562,0.39504915475845337,-0.06780477613210678,0.5025814771652222,0.31037384271621704,-0.0703568384051323,0.4902143180370331,0.3999161720275879,-0.014306492172181606,0.5958182215690613,0.4737977683544159,-0.16838371753692627,0.4819057881832123,0.482599675655365,-0.08930685371160507,0.5599958896636963,0.4852007329463959,-0.013832654803991318,0.5155567526817322,0.4843924641609192,0.013796384446322918,0.555255115032196,0.6294111609458923,-0.03464902937412262,0.5198287963867188,0.6262404322624207,-0.004313912242650986,0.5503718852996826,0.7707372307777405,0.05967409908771515,0.5123738646507263,0.7699587941169739,0.10102730989456177
4,0.5338423848152161,0.24481560289859772,-0.301218181848526,0.5793960690498352,0.3049947917461395,-0.11346030235290527,0.5935875773429871,0.3950240910053253,-0.0724262222647667,0.5020266175270081,0.3104757070541382,-0.08828827738761902,0.49007898569107056,0.4001059830188751,-0.027869021520018578,0.5953706502914429,0.47387269139289856,-0.16663554310798645,0.48178133368492126,0.4829244017601013,-0.10111775994300842,0.5598602294921875,0.4836970567703247,-0.013545328751206398,0.5152775645256042,0.4829653799533844,0.013506955467164516,0.5553263425827026,0.6293402910232544,-0.03552399203181267,0.5194170475006104,0.6262300610542297,-0.004821667447686195,0.5504306554794312,0.7705513834953308,0.05574265867471695,0.5122750401496887,0.7694125175476074,0.09851180016994476
5,0.5334137678146362,0.24483385682106018,-0.2996579110622406,0.5792218446731567,0.3049497604370117,-0.11536717414855957,0.5928690433502197,0.3950214087963104,-0.07462932169437408,0.5013899207115173,0.31099647283554077,-0.08161312341690063,0.48989954590797424,0.4003709852695465,-0.01976916939020157,0.5945643782615662,0.47396478056907654,-0.17432118952274323,0.4817368984222412,0.4830373227596283,-0.09443414211273193,0.5598216652870178,0.48318564891815186,-0.01447336096316576,0.5151678323745728,0.482460081577301,0.014437608420848846,0.5553228259086609,0.6294192671775818,-0.03688499704003334,0.5193801522254944,0.6260513663291931,-0.0025770911015570164,0.5504063963890076,0.7704111933708191,0.05011087656021118,0.5131914019584656,0.7691401839256287,0.10086816549301147
6,0.5325815081596375,0.24485564231872559,-0.2899647355079651,0.5789041519165039,0.304946631193161,-0.11517124623060226,0.5926602482795715,0.3951086699962616,-0.07621011883020401,0.5006737112998962,0.31159648299217224,-0.07575768232345581,0.48972660303115845,0.400943398475647,-0.017148034647107124,0.5935023427009583,0.47487199306488037,-0.17444686591625214,0.4816659390926361,0.48312610387802124,-0.0924135074019432,0.5598208904266357,0.48267069458961487,-0.014979949221014977,0.5150884389877319,0.482374906539917,0.014946477487683296,0.555300235748291,0.6295388340950012,-0.038353558629751205,0.518798291683197,0.6259909272193909,-0.0013269694754853845,0.550298810005188,0.7705062627792358,0.04758283495903015,0.5129948854446411,0.7689545750617981,0.10192051529884338
7,0.5319846272468567,0.24487502872943878,-0.2950908839702606,0.5785014629364014,0.3049483001232147,-0.11591728776693344,0.592628002166748,0.3951663672924042,-0.07994450628757477,0.5001235604286194,0.3118348717689514,-0.07453498989343643,0.48960331082344055,0.40129637718200684,-0.013947234489023685,0.5920864343643188,0.4751864969730377,-0.1829083114862442,0.4816121757030487,0.48348134756088257,-0.09050067514181137,0.5598414540290833,0.4826678931713104,-0.015395709313452244,0.5150735378265381,0.4826335906982422,0.015362934209406376,0.55506831407547,0.6296494007110596,-0.03839494287967682,0.518801748752594,0.6263243556022644,-0.0008066461887210608,0.5500068664550781,0.7704373598098755,0.05053789168596268,0.5130209922790527,0.7689510583877563,0.10439952462911606
8,0.5317359566688538,0.24416515231132507,-0.2810359597206116,0.5781587362289429,0.30502212047576904,-0.10987246781587601,0.5925547480583191,0.3954855501651764,-0.08018172532320023,0.4997516870498657,0.31188488006591797,-0.05946359410881996,0.489582359790802,0.4017764925956726,0.0006227450794540346,0.5900229215621948,0.4760982394218445,-0.18761217594146729,0.4816077649593353,0.48383140563964844,-0.085753433406353,0.5597524642944336,0.4835973083972931,-0.015504878014326096,0.5150179266929626,0.48386698961257935,0.015464463271200657,0.5543203353881836,0.6304627656936646,-0.03814004361629486,0.5185680389404297,0.6272171139717102,-0.0006723208352923393,0.5498626232147217,0.7704671621322632,0.052358489483594894,0.5129627585411072,0.7692391872406006,0.10599539428949356
9,0.5311439633369446,0.24409253895282745,-0.28231295943260193,0.5779175758361816,0.30541014671325684,-0.11174473911523819,0.5924449563026428,0.39694929122924805,-0.08451015502214432,0.49939602613449097,0.3120509386062622,-0.05804648995399475,0.4895724952220917,0.4023630917072296,0.003624462289735675,0.5878620147705078,0.4773578643798828,-0.1942245066165924,0.4815143644809723,0.48419302701950073,-0.08526568859815598,0.5593135356903076,0.48445621132850647,-0.016765449196100235,0.5148298144340515,0.48468589782714844,0.016737252473831177,0.5538181662559509,0.6314377188682556,-0.04046832397580147,0.5185399651527405,0.6281080842018127,0.0004941248334944248,0.5492357611656189,0.7720274925231934,0.05073533207178116,0.5130728483200073,0.7717289328575134,0.10634265840053558
10,0.5303094387054443,0.244227796792984,-0.2785815894603729,0.5776143670082092,0.3055652976036072,-0.11182817816734314,0.59192955493927,0.3977222442626953,-0.08496934175491333,0.49923449754714966,0.31216058135032654,-0.05275893211364746,0.48953309655189514,0.40274500846862793,0.009337954223155975,0.5854743123054504,0.47828012704849243,-0.19159941375255585,0.4813103675842285,0.4844856560230255,-0.07854621112346649,0.558296799659729,0.48471370339393616,-0.01725161261856556,0.5141052603721619,0.48473984003067017,0.017231479287147522,0.5533170104026794,0.6323749423027039,-0.04316013306379318,0.5177053213119507,0.6285162568092346,0.0005530238267965615,0.5491035580635071,0.7735240459442139,0.046643927693367004,0.5126678943634033,0.7726210355758667,0.1071048155426979
11,0.5294691324234009,0.24509741365909576,-0.3146129846572876,0.5771159529685974,0.30559179186820984,-0.13684839010238647,0.5915497541427612,0.3977600932121277,-0.09395202249288559,0.49888795614242554,0.31242698431015015,-0.08440648019313812,0.4894467294216156,0.40332943201065063,-0.017116570845246315,0.5843655467033386,0.47847697138786316,-0.19002410769462585,0.4808714985847473,0.4856984317302704,-0.10026832669973373,0.5576921105384827,0.4846770763397217,-0.01685146428644657,0.5129997730255127,0.48466938734054565,0.01681784726679325,0.5532673597335815,0.632836639881134,-0.035522278398275375,0.5169340372085571,0.6285633444786072,0.003221019171178341,0.5491258502006531,0.7734712958335876,0.06051881983876228,0.5126846432685852,0.7726014852523804,0.11611353605985641
12,0.528796374797821,0.24549518525600433,-0.3179360032081604,0.5761840343475342,0.3055603504180908,-0.1400086134672165,0.5908082723617554,0.3977700471878052,-0.09526374936103821,0.49830374121665955,0.3130117654800415,-0.09448821097612381,0.48933008313179016,0.40375328063964844,-0.027039403095841408,0.5840904712677002,0.47853365540504456,-0.1896466314792633,0.4805527627468109,0.48659107089042664,-0.10543294996023178,0.557116687297821,0.48458629846572876,-0.01501019299030304,0.512116551399231,0.48456862568855286,0.014952288940548897,0.5531977415084839,0.6328163146972656,-0.03133080527186394,0.516549289226532,0.6284991502761841,0.0031219879165291786,0.5492891669273376,0.7733004689216614,0.07099007070064545,0.5127021670341492,0.7716307640075684,0.11892911791801453
13,0.5280227661132812,0.2461307942867279,-0.3122033476829529,0.5755589604377747,0.30554577708244324,-0.13608086109161377,0.5902875661849976,0.39794012904167175,-0.09393774718046188,0.497711181640625,0.31339240074157715,-0.0884760320186615,0.4892429709434509,0.4041162133216858,-0.022763218730688095,0.5840274691581726,0.47873005270957947,-0.18573133647441864,0.4804852604866028,0.487205445766449,-0.10323583334684372,0.5570901036262512,0.48458659648895264,-0.015168917365372181,0.511786699295044,0.4845997989177704,0.015113242901861668,0.5531854629516602,0.6330202221870422,-0.03194337338209152,0.5161980390548706,0.6286464929580688,0.0031622005626559258,0.5496949553489685,0.7730051875114441,0.06981049478054047,0.5129669308662415,0.7714902758598328,0.1189560815691948
14,0.5276825428009033,0.2467026561498642,-0.31940898299217224,0.5749647617340088,0.30552351474761963,-0.13862641155719757,0.589891791343689,0.39790642261505127,-0.09441036731004715,0.4972529411315918,0.31359875202178955,-0.09235933423042297,0.4892006516456604,0.4043772220611572,-0.025396276265382767,0.584000289440155,0.47875383496284485,-0.1857895702123642,0.4804670810699463,0.4872976243495941,-0.1069452166557312,0.5568034052848816,0.48438262939453125,-0.015284782275557518,0.5114067792892456,0.4845201373100281,0.015229970216751099,0.5531744360923767,0.6330288648605347,-0.03219080716371536,0.5161134600639343,0.6286382675170898,0.003420071443542838,0.550209105014801,0.77293860912323,0.06855480372905731,0.5132566094398499,0.7717661261558533,0.11858197301626205
15,0.5271235704421997,0.24754910171031952,-0.312677800655365,0.5745088458061218,0.305524617433548,-0.13266025483608246,0.5895794034004211,0.39789387583732605,-0.08770506829023361,0.4964280128479004,0.3140369951725006,-0.09124574065208435,0.4890865087509155,0.404533326625824,-0.02374204434454441,0.5841590166091919,0.47872528433799744,-0.17943477630615234,0.480454683303833,0.48742997646331787,-0.10364796221256256,0.5568155646324158,0.4846467077732086,-0.015349600464105606,0.5113663077354431,0.4850424826145172,0.015293785370886326,0.5531349778175354,0.6334755420684814,-0.03204118087887764,0.516070544719696,0.6289860010147095,0.0037598677445203066,0.5502917170524597,0.7728825211524963,0.06776624172925949,0.5135833621025085,0.7716091275215149,0.11910325288772583
16,0.5270008444786072,0.2475314885377884,-0.325166255235672,0.573896050453186,0.30551907420158386,-0.13823316991329193,0.5891432166099548,0.3978707492351532,-0.09145383536815643,0.4959278106689453,0.3139137923717499,-0.0945701003074646,0.4886164963245392,0.4045240581035614,-0.02555621601641178,0.5842869281768799,0.4787140488624573,-0.18669113516807556,0.4802250564098358,0.4870751202106476,-0.10972438752651215,0.5567235350608826,0.48422834277153015,-0.015436578541994095,0.5112717151641846,0.48493438959121704,0.01538242306560278,0.5528584718704224,0.6329578757286072,-0.03226286917924881,0.516122043132782,0.6289429068565369,0.0037495095748454332,0.5495785474777222,0.7714105844497681,0.0676136165857315,0.5134406685829163,0.7711014747619629,0.11710529029369354
17,0.5265783667564392,0.24788272380828857,-0.3146800398826599,0.5732815861701965,0.3055330514907837,-0.13267025351524353,0.5887152552604675,0.3975975513458252,-0.08929946273565292,0.49553078413009644,0.31409016251564026,-0.09015883505344391,0.4880683720111847,0.40451788902282715,-0.02435414306819439,0.5844125747680664,0.4786321520805359,-0.18460522592067719,0.48009994626045227,0.4869765639305115,-0.1074899286031723,0.5565842986106873,0.48409831523895264,-0.01591644436120987,0.5110334753990173,0.4849317669868469,0.01586739532649517,0.5529339909553528,0.6325034499168396,-0.035150472074747086,0.5160893201828003,0.6289196610450745,0.0037586328107863665,0.5497264862060547,0.7712520956993103,0.05847033113241196,0.5134549140930176,0.771012544631958,0.11260297149419785
18,0.5264108777046204,0.2484661191701889,-0.3159825801849365,0.5726527571678162,0.305543452501297,-0.13249750435352325,0.5883768200874329,0.397451788187027,-0.08861216902732849,0.4949760437011719,0.3143952190876007,-0.09147529304027557,0.4878416359424591,0.40474146604537964,-0.026374585926532745,0.5844829678535461,0.47862452268600464,-0.18405857682228088,0.47988858819007874,0.487050324678421,-0.10937883704900742,0.5565648078918457,0.4838785231113434,-0.015746507793664932,0.5108778476715088,0.4848552644252777,0.0156994741410017,0.5530387759208679,0.632490873336792,-0.03610818460583687,0.5160344839096069,0.6288099884986877,0.0016283929580822587,0.549676239490509,0.7712796330451965,0.05429583415389061,0.512002170085907,0.7709991335868835,0.10424906760454178
19,0.5263257622718811,0.24915817379951477,-0.33443912863731384,0.5720416307449341,0.30556246638298035,-0.14111685752868652,0.5879497528076172,0.3973788321018219,-0.09431546181440353,0.494326114654541,0.3145069181919098,-0.10214367508888245,0.4874306321144104,0.40480268001556396,-0.03392608463764191,0.5845651030540466,0.4786166250705719,-0.1936972588300705,0.4796942472457886,0.48693543672561646,-0.11847979575395584,0.5565415620803833,0.4839112460613251,-0.015717852860689163,0.5107642412185669,0.48488396406173706,0.01567230187356472,0.5528217554092407,0.6323617100715637,-0.036301389336586,0.5163018703460693,0.6288009881973267,0.0017282454064115882,0.5490632057189941,0.7705755233764648,0.05460447445511818,0.5121917724609375,0.7705772519111633,0.10571159422397614
20,0.5263376235961914,0.24971544742584229,-0.34754854440689087,0.5717847943305969,0.30564457178115845,-0.14792375266551971,0.5876010656356812,0.3974032998085022,-0.09994610399007797,0.49404221773147583,0.31455984711647034,-0.10766753554344177,0.48720601201057434,0.4049687385559082,-0.0376175232231617,0.5846269130706787,0.4786056578159332,-0.2017974704504013,0.479518324136734,0.48686784505844116,-0.12432479858398438,0.5565553307533264,0.4838191270828247,-0.015769440680742264,0.5107687711715698,0.48494184017181396,0.015726743265986443,0.5527322888374329,0.632313072681427,-0.0364004448056221,0.5170837640762329,0.6288490295410156,0.0029753244016319513,0.5486417412757874,0.7704558968544006,0.054819755256175995,0.5136256217956543,0.7705737352371216,0.10759199410676956
