video,rating
A1,3
A2,3
A3,3
A4,3
A5,3
A6,3
A7,3
A8,3
A9,3
A10,3
A11,3
A12,3
A13,3
A14,3
A15,3
A16,3
A17,3
A18,3
A19,3
A20,3
A21,3
A22,3
A23,3
A24,3
A25,3
A26,3
A27,3
A28,3
A29,3
A30,3
A31,3
A32,3
A33,3
A34,3
A35,3
A36,3
A37,3
A38,3
A39,3
A40,3
A41,3
A42,3
A43,3
A44,3

A45,3
A46,3
A47,3
A48,3
A49,3
A50,3
A51,3
A52,3
A53,3
A54,3
A55,3
A56,3
A57,3
A58,2
A59,2
A60,3
A61,3
A62,3
A63,3
A64,3
A65,3
A66,3
A67,3
A68,3
A69,3
A70,3
A71,3
A72,2
A73,2
A74,3
A75,3
A76,3
A77,3
A78,3
A79,3
A80,2
A81,3
A82,3
A83,2
A84,3
A85,3
A86,3
A87,3
A88,3
A89,3
A90,1
A91,2 
A92,3
A93,2
A94,3
A95,3
A96,1
A97,1
A98,2
A99,3
A100,3
A101,2
A102,3
A103,2
A104,1
A105,3
A106,1
A107,NAN
A108,3
A109,2
A110,2
A111,1
A112,3
A113,1
A114,2
A115,3
A116,2
A117,3 
A118,3
A119,3
A120,2
A121,1
A122,1
A123,2
A124,3
A125,3
A126,2
A127,3
A128,3
A129,3
A130,3
A131,2
A132,3
A133,3
A134,3
A135,3
A136,2
A137,3
A138,3
A139,3
A140,2
A141,2
A142,2
A143,2
A144,2
A145,2
A146,2
A147,2
A148,2
A149,3
A150,2
A151,2
A152,2
A153,3
A154,2
A155,2
A156,1
A157,3
B1,3
B2,1
B3,1
B4,1
B5,1
B6,3
B7,3
B8,3
B9,3
B10,3
B11,3
B12,3
B13,3
B14,3
B15,3
B16,3
B17,3
B18,3
B19,3
B20,3
B21,3
B22,3
