FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.03177185729146004,-0.6325481534004211,-0.027461497113108635,0.17902608215808868,-0.48143860697746277,0.10349653661251068,0.2308730185031891,-0.3875320851802826,-0.141795814037323,-0.13429109752178192,-0.4862309694290161,0.09657339751720428,-0.22389988601207733,-0.4114944338798523,-0.08948486298322678,0.2941143214702606,-0.4648759365081787,-0.41878360509872437,-0.3026964068412781,-0.4609922766685486,-0.31865954399108887,0.11130187660455704,0.002610359340906143,0.0032677659764885902,-0.11103247851133347,-0.0028932318091392517,-0.0028487886302173138,0.12027466297149658,0.42187249660491943,-0.04899009317159653,-0.1402091234922409,0.3892856538295746,-0.04313751682639122,0.12709438800811768,0.7886896729469299,0.011964227072894573,-0.11557486653327942,0.7755247354507446,0.01934642344713211
1,0.02684631384909153,-0.6293628811836243,-0.0225448627024889,0.17148958146572113,-0.4798482060432434,0.11012771725654602,0.22835201025009155,-0.40393123030662537,-0.12781879305839539,-0.14007027447223663,-0.483538419008255,0.09581157565116882,-0.22389400005340576,-0.4300083816051483,-0.0904432088136673,0.2920117974281311,-0.5048443675041199,-0.38973405957221985,-0.3025569021701813,-0.5137743949890137,-0.31786519289016724,0.11128806322813034,0.0025326446630060673,0.0061624483205378056,-0.11101558804512024,-0.0028020485769957304,-0.005607481114566326,0.11777881532907486,0.4217604398727417,-0.04739517718553543,-0.13818202912807465,0.38994038105010986,-0.042119137942790985,0.12533195316791534,0.7907912135124207,0.00711608212441206,-0.1127561628818512,0.7763691544532776,0.009444608353078365
2,0.022409051656723022,-0.6295710206031799,-0.03283641114830971,0.16939057409763336,-0.47981059551239014,0.09608902782201767,0.2288905531167984,-0.43669551610946655,-0.14157772064208984,-0.14314673840999603,-0.4835861921310425,0.07712402939796448,-0.22766688466072083,-0.48134130239486694,-0.11202128976583481,0.2927926480770111,-0.5462068915367126,-0.3949457108974457,-0.3029618561267853,-0.5807554125785828,-0.3211890459060669,0.11126413941383362,0.0024486465845257044,0.007745719514787197,-0.11098875850439072,-0.002715296810492873,-0.007045668084174395,0.11514853686094284,0.42189764976501465,-0.04446665570139885,-0.13874343037605286,0.3904951810836792,-0.04120492935180664,0.12093652784824371,0.7900269627571106,0.011159732937812805,-0.11429709196090698,0.7763951420783997,0.008449764922261238
3,0.023876706138253212,-0.6310427784919739,-0.027994630858302116,0.17102722823619843,-0.48042798042297363,0.09554970264434814,0.2363617867231369,-0.4749963581562042,-0.14559286832809448,-0.14104539155960083,-0.4836311340332031,0.07980760186910629,-0.22813285887241364,-0.5196011066436768,-0.0963696762919426,0.30304238200187683,-0.5969890356063843,-0.39724063873291016,-0.3047230839729309,-0.6469357013702393,-0.28714045882225037,0.1112910583615303,0.0023277071304619312,0.007671343628317118,-0.11100921034812927,-0.0025953983422368765,-0.0069383904337882996,0.11723601818084717,0.422739177942276,-0.04398667812347412,-0.13657984137535095,0.3904683589935303,-0.03995080664753914,0.11977679282426834,0.7895020246505737,0.009614483453333378,-0.11208540946245193,0.7745327353477478,0.005490157753229141
4,0.02454080618917942,-0.6365251541137695,0.01807761937379837,0.1701330840587616,-0.489183634519577,0.13179941475391388,0.24038012325763702,-0.5541556477546692,-0.0787283256649971,-0.1408998966217041,-0.4829705059528351,0.11830390989780426,-0.23449201881885529,-0.5574644207954407,-0.05429242178797722,0.3037154972553253,-0.6916785836219788,-0.2812589406967163,-0.30729222297668457,-0.7143679857254028,-0.23352989554405212,0.11125662922859192,0.0021847086027264595,0.007629364263266325,-0.11098012328147888,-0.0024328536819666624,-0.00689929211512208,0.12022420018911362,0.42232102155685425,-0.04326856508851051,-0.13339810073375702,0.3899824023246765,-0.04062160104513168,0.1211276426911354,0.7864644527435303,0.00048471256741322577,-0.1106499508023262,0.7723896503448486,-0.003880250034853816
5,0.024747420102357864,-0.6364947557449341,-0.005660783965140581,0.16732773184776306,-0.49564409255981445,0.12792359292507172,0.24484078586101532,-0.5949775576591492,-0.04520624130964279,-0.1420067399740219,-0.48526179790496826,0.10384149849414825,-0.2564852237701416,-0.5894742608070374,-0.060905274003744125,0.30912071466445923,-0.7564045786857605,-0.20707249641418457,-0.31636878848075867,-0.7734514474868774,-0.2431899607181549,0.11131558567285538,0.002165416954085231,0.00807875394821167,-0.11105876415967941,-0.002416167873889208,-0.007317749317735434,0.11806558817625046,0.4232161045074463,-0.03818044438958168,-0.13036395609378815,0.3900855779647827,-0.04148145392537117,0.12171600013971329,0.7875765562057495,0.0011849936563521624,-0.10953414440155029,0.7718612551689148,-0.003284857841208577
6,0.030209485441446304,-0.6363099813461304,-0.08603297173976898,0.16758184134960175,-0.502921462059021,0.06735796481370926,0.2458503097295761,-0.627390444278717,-0.04184744134545326,-0.13614603877067566,-0.49942106008529663,0.06262911856174469,-0.2542465925216675,-0.6339902281761169,-0.03960079699754715,0.3085535764694214,-0.8235522508621216,-0.16175749897956848,-0.3160494565963745,-0.8538662195205688,-0.16175463795661926,0.11127449572086334,0.0020511795300990343,0.007872642017900944,-0.11103224754333496,-0.002341470681130886,-0.007049017120152712,0.11617320775985718,0.42321544885635376,-0.025193989276885986,-0.12800224125385284,0.3884838819503784,-0.04146873578429222,0.12190841883420944,0.7834180593490601,0.042259082198143005,-0.10186292976140976,0.7673723697662354,0.02747831866145134
7,0.03382854536175728,-0.6257652044296265,-0.1848645955324173,0.17000174522399902,-0.5023361444473267,-0.03313469514250755,0.24572962522506714,-0.6399862766265869,-0.12297745048999786,-0.12503615021705627,-0.49852555990219116,-0.021503085270524025,-0.2529624104499817,-0.6372636556625366,-0.11123292148113251,0.30719050765037537,-0.846082329750061,-0.2130287140607834,-0.31294670701026917,-0.8633968234062195,-0.21876749396324158,0.11105123162269592,0.0020375356543809175,0.007107665296643972,-0.11084465682506561,-0.0023425829131156206,-0.006219689268618822,0.11290274560451508,0.4236932396888733,-0.019861655309796333,-0.1248050406575203,0.3891834318637848,-0.026164183393120766,0.12218732386827469,0.783415675163269,0.05220630019903183,-0.10006138682365417,0.7677684426307678,0.050158873200416565
8,0.03128251060843468,-0.5917888879776001,-0.326919287443161,0.16481523215770721,-0.4738177955150604,-0.1686447709798813,0.23169557750225067,-0.6250706911087036,-0.2874697148799896,-0.12237000465393066,-0.4764053225517273,-0.15726083517074585,-0.24532072246074677,-0.6168248653411865,-0.28193676471710205,0.28854086995124817,-0.8361878991127014,-0.4050772488117218,-0.30939120054244995,-0.8372235894203186,-0.43963631987571716,0.11067748814821243,0.0020369102712720633,0.0069225928746163845,-0.11052180081605911,-0.0023628179915249348,-0.006022490561008453,0.11165489256381989,0.42638733983039856,-0.020444128662347794,-0.12559038400650024,0.3924221396446228,-0.01653408072888851,0.11985994875431061,0.7834464311599731,0.057110339403152466,-0.1032116711139679,0.7692025303840637,0.067886121571064
9,0.03267168626189232,-0.585997462272644,-0.346795916557312,0.1635483354330063,-0.46893754601478577,-0.19153282046318054,0.22308313846588135,-0.6505842208862305,-0.3142847418785095,-0.12106399238109589,-0.47216957807540894,-0.1875389963388443,-0.2329171746969223,-0.6268534660339355,-0.31814518570899963,0.2697433531284332,-0.886618971824646,-0.42608925700187683,-0.28292688727378845,-0.8655053973197937,-0.46672162413597107,0.11041641235351562,0.001986064715310931,0.0063562700524926186,-0.11030787974596024,-0.00232817349024117,-0.005436037201434374,0.1023649200797081,0.4262767434120178,-0.018239807337522507,-0.12572816014289856,0.3945741355419159,-0.005246186628937721,0.11532127857208252,0.7831845283508301,0.07040468603372574,-0.10548187792301178,0.7684725522994995,0.08723385632038116
