FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z,running_video
0,-0.0163470581173896,-0.6469018459320068,-0.211988091468811,0.1531001478433609,-0.5001275539398193,-0.0150100439786911,0.2453934103250503,-0.3003561496734619,0.0187276378273963,-0.1766553968191146,-0.4738660454750061,-0.0244951248168945,-0.2808385491371155,-0.2559996247291565,0.0268075987696647,0.2406450659036636,-0.1060258820652961,-0.0962424278259277,-0.2456430494785308,-0.0873091220855712,-0.0680314302444458,0.115113191306591,-0.0003564152866601,0.0043935775756835,-0.1154482066631317,-9.940378367900848e-05,-0.0031191706657409,0.1203431561589241,0.4185717403888702,-0.0210687816143035,-0.105511300265789,0.3933952748775482,-0.0200953334569931,0.1585834920406341,0.7671011686325073,0.0939151048660278,-0.1133265569806099,0.7614326477050781,0.0983617305755615,0
1,-0.0163862518966197,-0.6417403221130371,-0.180371418595314,0.1502613276243209,-0.5015965700149536,0.0181042104959487,0.241425409913063,-0.3029695749282837,0.0454615354537963,-0.1776091307401657,-0.4739085733890533,-0.006927119102329,-0.2800114750862121,-0.2572130858898163,0.0281737260520458,0.2399863451719284,-0.1081962957978248,-0.0751756057143211,-0.2443631738424301,-0.086961455643177,-0.0694882571697235,0.1145690977573394,-0.0003532343253027,0.0052153975702822,-0.1148801520466804,-0.0001015156449284,-0.0039660241454839,0.1158172264695167,0.4168057739734649,-0.0209926236420869,-0.1056142896413803,0.3933696746826172,-0.0242110434919595,0.1494939476251602,0.7705479860305786,0.0779797434806823,-0.1123771667480468,0.7643892168998718,0.0726376846432685,0
2,-0.0158776305615901,-0.6409279108047485,-0.1834516674280166,0.1502632051706314,-0.5015448331832886,0.0169461052864789,0.2385154515504837,-0.302942156791687,0.0506638400256633,-0.1775563061237335,-0.4739387929439544,-0.009008090943098,-0.2793062031269073,-0.2590750753879547,0.0288693308830261,0.2396458387374878,-0.1071191877126693,-0.0625719204545021,-0.2456208765506744,-0.0785370469093322,-0.064189538359642,0.1142635121941566,-3.944674244849011e-05,0.0066923107951879,-0.1145700439810752,-0.000417627452407,-0.0054261442273855,0.1145227774977684,0.4149040579795837,-0.0206175167113542,-0.1057995334267616,0.3929692804813385,-0.0273955576121807,0.1460273712873459,0.7712137699127197,0.077673465013504,-0.1110717803239822,0.7644055485725403,0.0686666667461395,0
3,-0.0136477863416075,-0.6398817300796509,-0.1863983124494552,0.1501368731260299,-0.4989597499370575,0.0139733320102095,0.2343769967555999,-0.2975666224956512,0.047197014093399,-0.1764283925294876,-0.4732813835144043,-0.0160605311393737,-0.2755249440670013,-0.2565547525882721,0.0166731607168912,0.238117054104805,-0.0937526002526283,-0.063848853111267,-0.2450498193502426,-0.0556681640446186,-0.0736034289002418,0.1136485934257507,0.00018346698198,0.0080845654010772,-0.1139314621686935,-0.0006390503258444,-0.0068185161799192,0.1141429021954536,0.4128797054290771,-0.0217390190809965,-0.1059836149215698,0.3929826617240906,-0.0304554868489503,0.1459866315126419,0.7740170955657959,0.0663024485111236,-0.1101571917533874,0.7665470838546753,0.0583395361900329,0
4,-0.0141280265524983,-0.6402261257171631,-0.1876098066568374,0.1488461643457412,-0.4987713992595672,0.0123785119503736,0.2278060764074325,-0.2931334376335144,0.0444688908755779,-0.1764574497938156,-0.4732817113399505,-0.0169809442013502,-0.2752443850040436,-0.2533608675003052,0.0127911875024437,0.2339358776807785,-0.0841683521866798,-0.072795957326889,-0.244359090924263,-0.0439354591071605,-0.0767377987504005,0.1132362261414527,0.0003026070771738,0.0087097520008683,-0.1135085895657539,-0.0007516403566114,-0.0074614542536437,0.1137524247169494,0.4121541380882263,-0.0225424766540527,-0.106187418103218,0.3931545615196228,-0.0305069312453269,0.1425457298755645,0.7748238444328308,0.0680243223905563,-0.1097865626215934,0.7675848603248596,0.0613445192575454,0
5,-0.017086086794734,-0.6386252045631409,-0.2279001921415329,0.1474415212869644,-0.4905279874801636,-0.0204015988856554,0.2197533845901489,-0.2765573859214782,0.0157490950077772,-0.177259624004364,-0.4689887762069702,-0.0571224279701709,-0.275359034538269,-0.2446015179157257,-0.0187731981277465,0.2281595021486282,-0.0582993365824222,-0.0988643392920494,-0.2445860356092453,-0.0217034518718719,-0.102922037243843,0.1130485534667968,0.0004943250678479,0.0099144810810685,-0.1133346259593963,-0.0009497431456111,-0.0086751598864793,0.1139856576919555,0.4118775427341461,-0.0221778415143489,-0.1075833961367607,0.3938601315021515,-0.0304081663489341,0.1428673863410949,0.7772837281227112,0.0685110166668891,-0.1107286512851715,0.7692461013793945,0.062701940536499,0
6,-0.0183739773929119,-0.6368022561073303,-0.2418196201324463,0.1470222473144531,-0.4887367784976959,-0.0354583114385604,0.2178055942058563,-0.2725057899951935,0.000228980963584,-0.178594172000885,-0.4676897227764129,-0.0663348212838172,-0.2751790285110473,-0.2402566075325012,-0.0256101377308368,0.2278083264827728,-0.0516327917575836,-0.1112064272165298,-0.2446637600660324,-0.0173926539719104,-0.1103596910834312,0.1130180656909942,0.0005177105194889,0.0099131148308515,-0.1133076176047325,-0.0009751337929628,-0.0086748320609331,0.1133491024374961,0.412645936012268,-0.0214865989983081,-0.1083888262510299,0.3950492739677429,-0.0267672203481197,0.1421578526496887,0.7792739272117615,0.0690843313932418,-0.1115180104970932,0.7716026306152344,0.0680267885327339,0
7,-0.0182550307363271,-0.6345111131668091,-0.2756898701190948,0.1470226794481277,-0.4816425442695617,-0.0647670403122901,0.2122554033994674,-0.2614710628986358,-0.0215103309601545,-0.1786456257104873,-0.4611436724662781,-0.0981107279658317,-0.2741779088973999,-0.2298798412084579,-0.0513809360563755,0.2244806736707687,-0.0384496301412582,-0.1235677301883697,-0.2479926794767379,-0.0047741308808326,-0.130863219499588,0.1129900887608528,0.0005627677310258,0.0102289114147424,-0.1132809594273567,-0.0010288887424394,-0.0089983642101287,0.114446222782135,0.4126834571361542,-0.0197996478527784,-0.1082016751170158,0.3956463634967804,-0.0256973579525947,0.1442933231592178,0.7803950905799866,0.0717678070068359,-0.1112346053123474,0.7717448472976685,0.0721856728196144,0
8,-0.0180180389434099,-0.6286243200302124,-0.2934594750404358,0.1476897299289703,-0.4796521961688995,-0.0832529440522193,0.2098789066076278,-0.2595137357711792,-0.0402615368366241,-0.1785072982311248,-0.4589558839797973,-0.111345574259758,-0.2691828608512878,-0.2245930135250091,-0.06328896433115,0.2245929092168808,-0.0361757837235927,-0.1385666877031326,-0.2481722086668014,0.0073212329298257,-0.1398039907217025,0.1130197346210479,0.0005619640578515,0.0103373397141695,-0.1133286580443382,-0.0010359057923778,-0.0091166663914918,0.1166489496827125,0.4126376211643219,-0.0176950730383396,-0.108861543238163,0.3964406549930572,-0.0229631606489419,0.1449900418519973,0.7800396084785461,0.0822345837950706,-0.111313983798027,0.7713790535926819,0.0822441503405571,0
9,-0.0187051724642515,-0.6270822882652283,-0.3066910803318023,0.1474546194076538,-0.4734241068363189,-0.0981252342462539,0.2002569139003753,-0.2476850748062133,-0.0542040914297103,-0.1785589605569839,-0.454054445028305,-0.1235356703400611,-0.2611010670661926,-0.2122955173254013,-0.0741356685757637,0.2241832017898559,-0.023779584094882,-0.1443208158016204,-0.2481407076120376,0.0208224914968013,-0.1472816318273544,0.1130847111344337,0.0005506879533641,0.0102783637121319,-0.1134091168642044,-0.0010326481424272,-0.0090549541637301,0.1166824921965599,0.4126293361186981,-0.0175484959036111,-0.1088680028915405,0.3968020975589752,-0.0208221096545457,0.1450641602277755,0.7801786065101624,0.0820685848593711,-0.1116005852818489,0.771009087562561,0.0847127810120582,0
