FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z,running_video
0,0.0103289596736431,-0.6389474272727966,-0.2678757309913635,0.1731551587581634,-0.4673174619674682,-0.0654517710208892,0.1886771768331527,-0.2289480566978454,-0.1373510658740997,-0.1630015224218368,-0.4847730994224548,-0.0697613060474395,-0.2234983891248703,-0.2309344708919525,-0.0174119770526886,0.1487137079238891,-0.2236944437026977,-0.3796306550502777,-0.1899326294660568,-0.0291723608970642,-0.1074731796979904,0.1149361133575439,0.0046378606930375,0.0167785603553056,-0.1152928844094276,-0.0055172075517475,-0.0158233921974897,0.0950256958603859,0.4223457276821136,0.0326254107058048,-0.086877666413784,0.3801796734333038,0.0285640861839056,0.1059638261795044,0.7497348785400391,0.1843356192111969,-0.0744372978806495,0.7154116630554199,0.2093761712312698,0
1,0.0105645861476659,-0.6484707593917847,-0.2181126624345779,0.1735147386789322,-0.4788589179515838,-0.0260210372507572,0.1933002322912216,-0.2359177321195602,-0.105516493320465,-0.1630155891180038,-0.4947816431522369,-0.0258762780576944,-0.2230577617883682,-0.2378758192062378,0.0172298848628997,0.1552056670188903,-0.2306053936481475,-0.3483979701995849,-0.1935385316610336,-0.0295088924467563,-0.0761092603206634,0.11491659283638,0.0046430700458586,0.016025299206376,-0.1152651757001876,-0.0055176704190671,-0.0150741199031472,0.0950057581067085,0.4222341179847717,0.027864595875144,-0.0868842303752899,0.3800302743911743,0.0287485234439373,0.106045201420784,0.7490643858909607,0.1862341314554214,-0.074286438524723,0.7135891318321228,0.2131774276494979,0
2,0.0111582493409514,-0.6532613635063171,-0.2035890966653823,0.1736425012350082,-0.4866340458393097,-0.0185621138662099,0.1935215294361114,-0.244928777217865,-0.1028411611914634,-0.1630189418792724,-0.5032152533531189,-0.01078109908849,-0.22046759724617,-0.2470894455909729,0.0285885483026504,0.1552005857229232,-0.2380061447620391,-0.3438932001590729,-0.1962203234434127,-0.0332614779472351,-0.0673229396343231,0.1148553416132927,0.0045948661863803,0.0116518018767237,-0.1151878982782363,-0.0054562017321586,-0.0106808971613645,0.0947811007499694,0.4211515188217163,0.0226669311523437,-0.0868488699197769,0.3798801004886627,0.0338329039514064,0.111861728131771,0.7442004680633545,0.1871556490659713,-0.0686811953783035,0.7119100093841553,0.2207672744989395,0
3,0.0113066053017973,-0.652728259563446,-0.2038947343826294,0.1734741032123565,-0.4881372451782226,-0.0147370602935552,0.1934504359960556,-0.2460284233093261,-0.0998143404722213,-0.1638109683990478,-0.5030769109725952,-0.011837026104331,-0.220451608300209,-0.2463166862726211,0.0274863708764314,0.1550876051187515,-0.2384215295314788,-0.3429505228996277,-0.1998019963502884,-0.0320327989757061,-0.0679192021489143,0.1147557571530342,0.0045254039578139,0.0110192503780126,-0.1150762066245079,-0.0053755552507936,-0.0100407795980572,0.094715915620327,0.4208405613899231,0.0210331529378891,-0.0873233452439308,0.3797115385532379,0.0337448455393314,0.1126758083701133,0.7441840171813965,0.1831689774990081,-0.0687923058867454,0.7120357155799866,0.2166456282138824,0
4,0.0192885007709264,-0.6536296606063843,-0.2010236382484436,0.1743549704551696,-0.488213837146759,-0.0113951312378048,0.1931274235248565,-0.2460666447877884,-0.0964304208755493,-0.1630424857139587,-0.503180980682373,-0.009509197436273,-0.2204842865467071,-0.2460182458162307,0.0280636064708232,0.1557087004184723,-0.2396763414144516,-0.3403618037700653,-0.2004192620515823,-0.0324309580028057,-0.0682758018374443,0.1147063747048378,0.0045164758339524,0.0105374157428741,-0.115010492503643,-0.0053628529421985,-0.0095562431961297,0.0929028689861297,0.4219538271427154,0.0206761453300714,-0.0873225033283233,0.3797487914562225,0.0338412746787071,0.1126103550195694,0.7454249262809753,0.179744154214859,-0.0688493847846984,0.712871789932251,0.2162374258041381,0
5,0.0213181506842374,-0.6574155688285828,-0.1979261934757232,0.1743758171796798,-0.4908675253391266,-0.0107507165521383,0.1922949105501175,-0.2495051622390747,-0.0953874066472053,-0.1630419790744781,-0.5061278939247131,-0.0079870233312249,-0.2205279171466827,-0.2483792901039123,0.0281267054378986,0.1556020528078079,-0.2434892952442169,-0.3356736302375793,-0.2011903375387191,-0.0350634939968586,-0.068200759589672,0.1146398410201072,0.0045094075612723,0.0087464042007923,-0.1149293035268783,-0.005351984873414,-0.007748463191092,0.0907991304993629,0.4220075607299804,0.0204359628260135,-0.0875191316008567,0.379840224981308,0.0370102897286415,0.1114663854241371,0.7454875707626343,0.1779961138963699,-0.0694923847913742,0.7132630348205566,0.2164694517850875,0
6,0.0253908969461917,-0.6570038199424744,-0.1966421753168106,0.174325942993164,-0.4912840723991394,-0.0037607108242809,0.1932054311037063,-0.2528670728206634,-0.0871390700340271,-0.1632066965103149,-0.5062713027000427,-0.0083132786676287,-0.2205758392810821,-0.2482279986143112,0.0289158206433057,0.1562110781669616,-0.2453103214502334,-0.3305280208587646,-0.2019652128219604,-0.0349433086812496,-0.0652359724044799,0.1145147979259491,0.0044465390965342,0.0103776631876826,-0.1147781983017921,-0.0052770487964153,-0.0093606952577829,0.0910026729106903,0.4218248724937439,0.023007646203041,-0.0868924111127853,0.3798138797283172,0.0323335565626621,0.1138711869716644,0.7438725829124451,0.1805179417133331,-0.0685058161616325,0.7132998108863831,0.2083179205656051,0
7,0.0259115137159824,-0.6567128300666809,-0.2023786753416061,0.174262523651123,-0.4915345907211303,-0.0063685784116387,0.1936460435390472,-0.2525395154953003,-0.0882975086569786,-0.1641095429658889,-0.5063043236732483,-0.0129440743476152,-0.2215019166469574,-0.2486772090196609,0.026505772024393,0.1562041044235229,-0.2450753003358841,-0.3336511850357055,-0.2034238427877426,-0.0342564396560192,-0.0664864555001258,0.1145568341016769,0.0043859449215233,0.0103452838957309,-0.1148116886615753,-0.0052133803255856,-0.0093281883746385,0.0914721116423606,0.4219513833522796,0.02338233217597,-0.0882289633154869,0.3799164891242981,0.0335000641644001,0.1140851378440857,0.743886411190033,0.1828406602144241,-0.0691068172454834,0.7132903337478638,0.211985170841217,0
8,0.0273508466780185,-0.6565560698509216,-0.2033176869153976,0.1749075502157211,-0.491513729095459,-0.0078521165996789,0.1939101219177246,-0.2526255249977112,-0.0894530564546585,-0.1637455224990844,-0.5061909556388855,-0.013380367308855,-0.2216268628835678,-0.2486768066883087,0.0251684766262769,0.1561231166124344,-0.2449143081903457,-0.3359011113643646,-0.2040404975414276,-0.0329436548054218,-0.0675000771880149,0.1145471334457397,0.0043734549544751,0.0103611834347248,-0.1147982105612754,-0.0051969019696116,-0.0093468306586146,0.091501735150814,0.4221577644348144,0.0234029777348041,-0.0880261957645416,0.3799540102481842,0.0334869548678398,0.1140648126602172,0.7449147701263428,0.1817157417535781,-0.0691515579819679,0.7133118510246277,0.2117031514644622,0
9,0.0305399559438228,-0.6517634987831116,-0.2045625299215316,0.174937754869461,-0.490240603685379,-0.0082515552639961,0.1939152181148529,-0.2500358521938324,-0.0898948460817337,-0.1635700017213821,-0.5061034560203552,-0.0147672249004244,-0.2203959077596664,-0.2482496201992035,0.0247328598052263,0.1563924700021743,-0.2446713596582412,-0.3362970054149627,-0.2038826495409011,-0.0323278568685054,-0.0680018961429596,0.114528089761734,0.0043741445988416,0.011242976412177,-0.1147718206048011,-0.0051941303536295,-0.010222096927464,0.0915858596563339,0.4227653741836548,0.0239329040050506,-0.0885070711374282,0.3800496757030487,0.03249017521739,0.1139560490846633,0.7452191114425659,0.1818263679742813,-0.0694829672574997,0.7137066721916199,0.2098629623651504,0
